"Yq",0,0,0,0
"Xq",41.25,0,0,3.84
"1p",0,0,26.95,9.7
"2p",4.1,0,1.02,32.33
"3p",15.16,0,0,3.74
"4p",8.14,0,0,0
"5p",0.7,0,27.84,0
"6p",0,0,10.51,9.17
"7p",0.6,0,0.73,6.33
"8p",90.84,0,73.75,0
"9p",3.15,0,63.16,0
"10p",50.79,0,4.45,0
"11p",0,0,0.89,24.96
"12p",1.61,0,17.32,7.41
"16p",78.41,0,16.65,0
"17p",0,0,99.89,0
"18p",0,0,22.29,0
"19p",4.75,0,95.2,0
"20p",0,0,5.37,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0,0,23.64,24.76
"2q",0,0,8.67,13.13
"3q",0.34,0,0.44,2.69
"4q",0,0,3.97,2.83
"5q",0.64,0,8.31,3.03
"6q",0.93,0,9.94,4.2
"7q",6.89,0,5.5,15.9
"8q",25.53,0,0,4.03
"9q",8.26,0,3.23,7.81
"10q",6.81,0,8.83,0
"11q",0,0,13.63,3.27
"12q",7.22,0,2.21,0
"13q",0.68,0,35.78,3.99
"14q",3.89,0,5.59,4.8
"15q",27.01,0,45.35,7.85
"16q",43.17,0,6.82,0
"17q",2.4,0,17.8,0
"18q",57.9,0,53.15,5.25
"19q",0,0,55.44,0
"20q",1.11,0,13.01,0
"21q",35.05,0,38.01,0
"22q",0,0,10.99,0
"Yq",0,0,0,0
"Xq",0,0,0,0
"1p",0,0,0,9.78
"2p",0,0,0,4.13
"3p",0,0,0,0
"4p",11.03,0,0,0
"5p",0.89,0,0,0
"6p",0,0,4.79,8.82
"7p",0,0,0,0
"8p",0,0,0,0
"9p",0,0,29.93,0
"10p",0,0,4.13,0
"11p",2.46,0,0.74,5.3
"12p",1.27,0,0,0
"16p",74.82,0,0,9.51
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",4.59,0,0,0
"1q",0,0,11.71,0
"2q",0,0,0,2.61
"3q",0,0,0,0
"4q",0,0,0,0
"5q",0,0,3.2,3.37
"6q",0.47,0,7.37,4.98
"7q",0,0,0,0
"8q",17.64,0,0,2.67
"9q",6.65,0,0,0
"10q",0,0,0,6.59
"11q",0,0,5.83,0
"12q",0.62,0,0.39,0
"13q",0,0,0.75,0
"14q",0,0,2,0
"15q",0.57,0,12.79,0
"16q",0,0,0.94,0
"17q",0,0,5.13,5.42
"18q",0,0,0,0
"19q",0,0,0,0
"20q",3.99,0,0,0
"21q",1.63,0,0.92,0
"22q",1.77,0,34.92,0
"Yq",0,0,0,0
"Xq",2.59,0,0,10.06
"1p",0,0,0.35,0
"2p",0,0,0,0
"3p",0,0,0,0
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,0,7.25
"7p",0,0,0,0
"8p",20.1,0,0,0
"9p",0,0,0,0
"10p",0,0,0,0
"11p",0,0,0,0
"12p",99.7,0,0,0
"16p",0,0,0,0
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,1.85,0
