sample_id	CHROMOSOME	Arm	GAIN	LOSS	LOH
F16000592	5	p	0	0	0
F16000592	6	p	0	0	0
F16000592	7	p	0	0	0
F16000592	8	p	19	0	0
F16000592	9	p	0	0	0
F16000592	10	p	0	0	0
F16000592	11	p	0	0	0
F16000592	12	p	0	0	0
F16000592	16	p	0	0	9
F16000592	17	p	0	0	0
F16000592	18	p	0	0	0
F16000592	19	p	0	0	0
F16000592	20	p	0	0	0
F16000592	21	p	0	0	0
F16000592	Y	p	0	0	0
F16000592	X	p	0	0	0
F16000592	1	q	0	0	0
F16000592	2	q	0	0	0
F16000592	3	q	0	0	0
F16000592	4	q	0	0	0
F16000592	5	q	0	0	3
F16000592	6	q	0	0	0
F16000592	7	q	0	0	0
F16000592	8	q	0	0	0
F16000592	9	q	0	0	0
F16000592	10	q	0	0	0
F16000592	11	q	0	0	0
F16000592	12	q	0	0	0
F16000592	13	q	0	0	0
F16000592	14	q	0	0	0
F16000592	15	q	0	0	0
F16000592	16	q	0	0	0
F16000592	17	q	0	0	0
F16000592	18	q	0	0	0
F16000592	19	q	0	0	0
F16000592	20	q	0	0	0
F16000592	21	q	0	0	0
F16000592	22	q	0	0	0
F16000592	Y	q	0	0	0
F16000592	X	q	0	0	0
F16000981	1	p	9	31	2
F16000981	2	p	0	3	4
F16000981	3	p	0	0	3
F16000981	4	p	7	0	0
F16000981	5	p	1	0	0
F16000981	6	p	0	5	0
F16000981	7	p	0	0	4
F16000981	8	p	0	4	6
F16000981	9	p	0	25	0
F16000981	10	p	51	4	0
F16000981	11	p	5	0	7
F16000981	12	p	97	0	0
F16000981	16	p	93	0	11
F16000981	17	p	0	31	0
F16000981	18	p	14	23	0
F16000981	19	p	0	0	0
F16000981	20	p	0	0	0
F16000981	21	p	0	0	0
F16000981	Y	p	0	0	0
F16000981	X	p	4	4	4
F16000981	1	q	0	0	8
F16000981	2	q	0	5	1
F16000981	3	q	0	2	0
F16000981	4	q	0	0	0
F16000981	5	q	0	4	4
F16000981	6	q	1	11	0
F16000981	7	q	8	6	6
F16000981	8	q	15	0	0
F16000981	9	q	2	0	3
F16000981	10	q	0	10	2
F16000981	11	q	0	0	3
F16000981	12	q	96	0	0
F16000981	13	q	0	13	2
F16000981	14	q	1	3	0
F16000981	15	q	0	3	8
F16000981	16	q	0	0	0
F16000981	17	q	0	0	9
F16000981	18	q	0	8	0
F16000981	19	q	0	45	0
F16000981	20	q	25	12	0
F16000981	21	q	1	0	0
F16000981	22	q	0	0	0
F16000981	Y	q	0	0	0
F16000981	X	q	31	7	7
F16001097	1	p	0	38	5
F16001097	2	p	1	3	16
F16001097	3	p	11	0	3
F16001097	4	p	8	0	0
F16001097	5	p	1	3	0
F16001097	6	p	0	7	9
F16001097	7	p	0	1	6
F16001097	8	p	45	9	0
F16001097	9	p	3	26	0
F16001097	10	p	50	4	0
F16001097	11	p	0	1	14
F16001097	12	p	2	16	7
F16001097	16	p	73	16	0
F16001097	17	p	0	26	0
F16001097	18	p	0	22	0
F16001097	19	p	4	51	0
F16001097	20	p	0	5	0
F16001097	21	p	0	0	0
F16001097	Y	p	0	0	0
F16001097	X	p	0	0	0
F16001097	1	q	0	16	11
F16001097	2	q	0	4	7
